이름,유형,리뷰 수,주소,영업 시간,포장 가능 여부,반려동물 동반 가능 여부,메뉴
모멍데모시옹,"카페,디저트","['별점\n4.62', '방문자 리뷰 295', '블로그 리뷰 125']",서울 서초구 반포대로3길 31 102호,"[{'day': '화', 'hours': '정기휴무 (매주 화요일)'}, {'day': '수', 'hours': '정기휴무 (매주 수요일)'}, {'day': '목', 'hours': '11:00 - 18:30'}, {'day': '금', 'hours': '11:00 - 18:30'}, {'day': '토', 'hours': '11:00 - 18:30'}, {'day': '일', 'hours': '11:00 - 18:30'}, {'day': '월', 'hours': '정기휴무 (매주 월요일)'}]",True,False,"['녹차(유기농)', '우롱차']"
레어마카롱 교대점,"카페,디저트","['별점\n4.8', '방문자 리뷰 1,534', '블로그 리뷰 271']",서울 서초구 반포대로24길 47 1층,"[{'day': '화', 'hours': '10:00 - 20:00'}, {'day': '수', 'hours': '10:00 - 20:00'}, {'day': '목', 'hours': '10:00 - 20:00'}, {'day': '금', 'hours': '10:00 - 20:00'}, {'day': '토', 'hours': '09:30 - 17:00'}, {'day': '일', 'hours': '정기휴무 (매주 일요일)'}, {'day': '월', 'hours': '10:00 - 20:00'}]",True,False,"['밀크티', '레어솔티드 더치', '마카롱', '아메리카노']"
김영모과자점 서초본점,베이커리,"['방문자 리뷰 1,450', '블로그 리뷰 240']",서울 서초구 효령로 403 서초그랑몰 102호,"[{'day': '화', 'hours': '08:00 - 22:30'}, {'day': '수', 'hours': '08:00 - 22:30'}, {'day': '목', 'hours': '08:00 - 22:30'}, {'day': '금', 'hours': '08:00 - 22:30'}, {'day': '토', 'hours': '08:00 - 22:30'}, {'day': '일', 'hours': '08:00 - 22:30'}, {'day': '월', 'hours': '08:00 - 22:30'}]",True,False,"['몽블랑', '바게트샌드위치', '마늘바게트', '소금빵']"
베통 신세계백화점 강남점,베이커리,"['방문자 리뷰 137', '블로그 리뷰 290']",서울 서초구 신반포로 176 신세계백화점 강남점 지하1층,"[{'day': '화', 'hours': '10:30 - 20:00'}, {'day': '수', 'hours': '10:30 - 20:00'}, {'day': '목', 'hours': '10:30 - 20:00'}, {'day': '금', 'hours': '10:30 - 20:30'}, {'day': '토', 'hours': '10:30 - 20:30'}, {'day': '일', 'hours': '10:30 - 20:30'}, {'day': '월', 'hours': '10:30 - 20:00'}]",False,False,"['소금빵', '솔티초코소금빵', '블루베리소금빵']"
크레미엘,베이커리,"['방문자 리뷰 1,113', '블로그 리뷰 643']","서울 서초구 양재천로21길 3 1층(양재동, 디와이빌딩)","[{'day': '화', 'hours': '정기휴무 (매주 화요일)'}, {'day': '수', 'hours': '정기휴무 (매주 수요일)'}, {'day': '목', 'hours': '11:00 - 19:00'}, {'day': '금', 'hours': '11:00 - 19:00'}, {'day': '토', 'hours': '11:00 - 19:00'}, {'day': '일', 'hours': '11:00 - 19:00'}, {'day': '월', 'hours': '11:00 - 19:00'}]",True,True,"['팡오쇼콜라', '초코 브리오슈', '쿠인아망', '카눌레']"
파브리끄 양재점,"카페,디저트","['별점\n4.46', '방문자 리뷰 441', '블로그 리뷰 261']",서울 서초구 서운로6길 25 1층,"[{'day': '화', 'hours': '08:00 - 21:00'}, {'day': '수', 'hours': '08:00 - 21:00'}, {'day': '목', 'hours': '08:00 - 21:00'}, {'day': '금', 'hours': '08:00 - 21:00'}, {'day': '토', 'hours': '12:00 - 18:00'}, {'day': '일', 'hours': '12:00 - 18:00'}, {'day': '월', 'hours': '08:00 - 21:00'}]",True,False,"['[패스오더전용] 100원 아메리카노', '아인슈페너', '아메리카노', '플랫화이트']"
비밀베이커리 예술의전당점,베이커리,"['방문자 리뷰 1,182', '블로그 리뷰 291']",서울 서초구 반포대로 4,"[{'day': '화', 'hours': '08:00 - 21:00'}, {'day': '수', 'hours': '08:00 - 21:00'}, {'day': '목', 'hours': '08:00 - 21:00'}, {'day': '금', 'hours': '08:00 - 21:00'}, {'day': '토', 'hours': '08:00 - 21:00'}, {'day': '일', 'hours': '08:00 - 21:00'}, {'day': '월', 'hours': '정기휴무 (매주 월요일)'}]",True,False,"['잠봉뵈르 샌드위치', '수비드 치킨 샌드위치', '수비드 치킨 샐러드 (+치아바타)', '아메리카노']"
레망도레,베이커리,"['방문자 리뷰 358', '블로그 리뷰 141']",서울 서초구 사평대로26길 9-3 1층,"[{'day': '화', 'hours': '08:00 - 21:00\n20:30 라스트오더'}, {'day': '수', 'hours': '08:00 - 21:00\n20:30 라스트오더'}, {'day': '목', 'hours': '08:00 - 21:00\n20:30 라스트오더'}, {'day': '금', 'hours': '08:00 - 21:00\n20:30 라스트오더'}, {'day': '토', 'hours': '08:00 - 21:00\n20:30 라스트오더'}, {'day': '일', 'hours': '08:00 - 21:00\n20:30 라스트오더'}, {'day': '월', 'hours': '08:00 - 21:00\n20:30 라스트오더'}]",True,True,"['[NO.1] 피스타치오 크림 크로아상', '화이트 카라멜 크림번', '크랜베리 호두 치즈 바게트', '아메리카노']"
JW 메리어트 호텔 서울 더 라운지,"카페,디저트","['별점\n4.62', '방문자 리뷰 348', '블로그 리뷰 470']",서울 서초구 신반포로 176 JW 메리어트 호텔 서울 8층,"[{'day': '매일', 'hours': '10:00 - 22:00'}]",False,False,['메뉴 정보 없음']
테라로사 예술의전당점,카페,"['별점\n4.41', '방문자 리뷰 5,464', '블로그 리뷰 671']",서울 서초구 남부순환로 2406 예술의전당 비타민 스테이션 1층,"[{'day': '매일', 'hours': '08:30 - 21:00\n20:30 라스트오더'}]",True,False,['메뉴 정보 없음']
까페라리 서초점,카페,"['별점\n4.47', '방문자 리뷰 351', '블로그 리뷰 343']",서울 서초구 서초중앙로2길 37,"[{'day': '화', 'hours': '10:00 - 19:00'}, {'day': '수', 'hours': '10:00 - 19:00'}, {'day': '목', 'hours': '10:00 - 19:00'}, {'day': '금', 'hours': '10:00 - 19:00'}, {'day': '토', 'hours': '10:00 - 19:00'}, {'day': '일', 'hours': '10:00 - 19:00'}, {'day': '월', 'hours': '10:00 - 19:00'}]",True,False,"['오렌지,딸기타르트', '수제벨기에와플', '케이크']"
아펜즈커피 서초교대점,카페,"['별점\n4.53', '방문자 리뷰 1,297', '블로그 리뷰 588']","서울 서초구 서초중앙로 119 1, 2층 아펜즈 커피","[{'day': '화', 'hours': '07:00 - 05:00'}, {'day': '수', 'hours': '07:00 - 05:00'}, {'day': '목', 'hours': '07:00 - 05:00'}, {'day': '금', 'hours': '07:00 - 05:00'}, {'day': '토', 'hours': '09:00 - 05:00'}, {'day': '일', 'hours': '09:00 - 05:00'}, {'day': '월', 'hours': '07:00 - 05:00'}]",True,False,"['아메리카노(HOT)', '아메리카노(ICE)', '바닐라빈 라떼(HOT)', '바닐라빈 라떼(ICE)']"
파리크라상 교대역점,베이커리,"['별점\n4.38', '방문자 리뷰 4,732', '블로그 리뷰 185']",서울 서초구 서초중앙로24길 27 G-five 플라자 1층,"[{'day': '매일', 'hours': '07:00 - 23:00'}]",True,False,['메뉴 정보 없음']
투썸플레이스 강남KI타워점,카페,"['별점\n4.51', '방문자 리뷰 3,808', '블로그 리뷰 96']",서울 서초구 강남대로69길 8 KI타워 2층,"[{'day': '화', 'hours': '08:00 - 24:00'}, {'day': '수', 'hours': '08:00 - 24:00'}, {'day': '목', 'hours': '08:00 - 24:00'}, {'day': '금', 'hours': '08:00 - 24:00'}, {'day': '토', 'hours': '00:00 - 24:00'}, {'day': '일', 'hours': '00:00 - 24:00'}, {'day': '월', 'hours': '08:00 - 24:00'}]",True,False,"['카페아메리카노', '카페라떼', '스페니쉬 연유 라떼', '로얄밀크티']"
앨리스프로젝트,"카페,디저트","['방문자 리뷰 268', '블로그 리뷰 246']",서울 서초구 양재천로 107-4 1층 앨리스프로젝트,"[{'day': '화', 'hours': '정기휴무 (매주 화요일)'}, {'day': '수', 'hours': '정기휴무 (매주 수요일)'}, {'day': '목', 'hours': '12:00 - 19:00'}, {'day': '금', 'hours': '12:00 - 22:00'}, {'day': '토', 'hours': '12:00 - 22:00'}, {'day': '일', 'hours': '12:00 - 19:00'}, {'day': '월', 'hours': '12:00 - 19:00'}]",True,True,['메뉴 정보 없음']
어딕티브,"카페,디저트","['별점\n4.72', '방문자 리뷰 215', '블로그 리뷰 207']",서울 서초구 주흥15길 5 102호,"[{'day': '화', 'hours': '12:00 - 21:00\n20:50 라스트오더'}, {'day': '수', 'hours': '12:00 - 21:00\n20:50 라스트오더'}, {'day': '목', 'hours': '12:00 - 21:00\n20:50 라스트오더'}, {'day': '금', 'hours': '12:00 - 21:00\n20:50 라스트오더'}, {'day': '토', 'hours': '12:00 - 21:00\n20:50 라스트오더'}, {'day': '일', 'hours': '12:00 - 17:00\n16:50 라스트오더'}, {'day': '월', 'hours': '정기휴무 (매주 월요일)'}]",True,True,"['핸드드립커피', '브라운 슈패너', '카페 라떼', '꿀꺽(?)']"
리플렉트커피 로스팅 랩,"카페,디저트","['방문자 리뷰 1,348', '블로그 리뷰 455']",서울 서초구 남부순환로347길 53 104호,"[{'day': '화', 'hours': '08:00 - 21:00\n20:40 라스트오더'}, {'day': '수', 'hours': '08:00 - 21:00\n20:40 라스트오더'}, {'day': '목', 'hours': '08:00 - 21:00\n20:40 라스트오더'}, {'day': '금', 'hours': '08:00 - 21:00\n20:40 라스트오더'}, {'day': '토', 'hours': '10:00 - 19:00\n18:40 라스트오더'}, {'day': '일', 'hours': '10:00 - 19:00\n18:40 라스트오더'}, {'day': '월', 'hours': '08:00 - 21:00\n20:40 라스트오더'}]",True,True,['메뉴 정보 없음']
프랑세즈과자점,베이커리,"['별점\n4.42', '방문자 리뷰 1,526', '블로그 리뷰 104']",서울 서초구 서초중앙로24길 43 유원서초아파트,"[{'day': '화', 'hours': '07:30 - 22:00'}, {'day': '수', 'hours': '07:30 - 22:00'}, {'day': '목', 'hours': '07:30 - 22:00'}, {'day': '금', 'hours': '07:30 - 22:00'}, {'day': '토', 'hours': '07:30 - 22:00'}, {'day': '일', 'hours': '07:30 - 22:00'}, {'day': '월', 'hours': '07:30 - 22:00'}]",True,False,"['치즈프리첼', '모카크림치즈번', '옥수수빵']"
시즈니크 신세계백화점 강남점,케이크전문,"['방문자 리뷰 135', '블로그 리뷰 351']",서울 서초구 신반포로 176 신세계백화점 강남점 지하1층 스위트파크 시즈니크,"[{'day': '화', 'hours': '10:30 - 20:00'}, {'day': '수', 'hours': '10:30 - 20:00'}, {'day': '목', 'hours': '10:30 - 20:00'}, {'day': '금', 'hours': '10:30 - 20:30'}, {'day': '토', 'hours': '10:30 - 20:30'}, {'day': '일', 'hours': '10:30 - 20:30'}, {'day': '월(11/18)', 'hours': '휴무'}]",False,False,"['망고 농장 와르르-SIGNATURE', '플로럴 망고 생크림 1호', '과일 농장 와르르-SIGNATURE', '몽땅 생크림 1호']"
푸르파파 서초우성직영점,"카페,디저트","['방문자 리뷰 126', '블로그 리뷰 104']",서울 서초구 강남대로 321 106호,"[{'day': '화', 'hours': '07:00 - 20:00'}, {'day': '수', 'hours': '07:00 - 20:00'}, {'day': '목', 'hours': '07:00 - 20:00'}, {'day': '금', 'hours': '07:00 - 20:00'}, {'day': '토', 'hours': '10:00 - 20:00'}, {'day': '일', 'hours': '10:00 - 20:00'}, {'day': '월', 'hours': '07:00 - 20:00'}]",False,False,"['[패스오더전용] 100원 아메리카노', '아메리카노', '소프트라떼', '시그니처라떼']"
메르시뤼탱파티세리,"카페,디저트","['방문자 리뷰 196', '블로그 리뷰 144']",서울 서초구 동광로12가길 12 1층,"[{'day': '화', 'hours': '11:00 - 19:00'}, {'day': '수', 'hours': '11:00 - 19:00'}, {'day': '목', 'hours': '11:00 - 19:00'}, {'day': '금', 'hours': '11:00 - 19:00'}, {'day': '토', 'hours': '11:00 - 19:00'}, {'day': '일', 'hours': '11:00 - 19:00'}, {'day': '월', 'hours': '11:00 - 19:00'}]",True,False,['메뉴 정보 없음']
fincafe,베이커리,"['별점\n4.52', '방문자 리뷰 361', '블로그 리뷰 245']",서울 서초구 서래로 8 1층 fin,"[{'day': '매일', 'hours': '11:00 - 22:00\n21:15 라스트오더'}]",True,True,"['당근케익', '아보카도 샌드위치', '아인슈페너', '히비스커스']"
타짜도르 강남점,"카페,디저트","['별점\n4.48', '방문자 리뷰 742', '블로그 리뷰 368']",서울 서초구 서초대로77길 61 S&G타워 1층,"[{'day': '화', 'hours': '10:00 - 22:00\n21:30 라스트오더'}, {'day': '수', 'hours': '10:00 - 22:00\n21:30 라스트오더'}, {'day': '목', 'hours': '10:00 - 22:00\n21:30 라스트오더'}, {'day': '금', 'hours': '10:00 - 22:00\n21:30 라스트오더'}, {'day': '토', 'hours': '11:00 - 22:00\n21:30 라스트오더'}, {'day': '일', 'hours': '11:00 - 21:00\n20:30 라스트오더'}, {'day': '월', 'hours': '10:00 - 22:00\n21:30 라스트오더'}]",True,False,"['에스프레소 도피오', '그라니따 콘파냐', '녹차', '얼그레이']"
엔트런스,카페,"['별점\n4.68', '방문자 리뷰 287', '블로그 리뷰 311']",서울 서초구 사임당로19길 72-3,"[{'day': '화', 'hours': '10:00 - 20:00\n19:00 라스트오더'}, {'day': '수', 'hours': '10:00 - 20:00\n19:00 라스트오더'}, {'day': '목', 'hours': '10:00 - 20:00\n19:00 라스트오더'}, {'day': '금', 'hours': '10:00 - 20:00\n19:00 라스트오더'}, {'day': '토', 'hours': '10:00 - 20:00\n19:00 라스트오더'}, {'day': '일', 'hours': '10:00 - 20:00\n19:00 라스트오더'}, {'day': '월', 'hours': '10:00 - 20:00\n19:00 라스트오더'}]",True,True,['메뉴 정보 없음']
르팡,베이커리,"['별점\n4.52', '방문자 리뷰 1,802', '블로그 리뷰 178']",서울 서초구 방배로 268 신삼호종합상가 1층,"[{'day': '화', 'hours': '07:30 - 22:30'}, {'day': '수', 'hours': '07:30 - 22:30'}, {'day': '목', 'hours': '07:30 - 22:30'}, {'day': '금', 'hours': '07:30 - 22:30'}, {'day': '토', 'hours': '07:30 - 22:30'}, {'day': '일', 'hours': '정기휴무 (매주 일요일)'}, {'day': '월', 'hours': '07:30 - 22:30'}]",True,False,['메뉴 정보 없음']
커피랑도서관 반포점,스터디카페,"['별점\n4.65', '방문자 리뷰 171', '블로그 리뷰 120']",서울 서초구 고무래로 12 서초빌딩 201호,"[{'day': '매일', 'hours': '00:00 - 24:00'}]",False,False,['메뉴 정보 없음']
카페 페라 클래식,카페,"['방문자 리뷰 2,633', '블로그 리뷰 516']",서울 서초구 방배천로 11 SK리더스뷰 1층,"[{'day': '화', 'hours': '09:30 - 23:00'}, {'day': '수', 'hours': '09:30 - 23:00'}, {'day': '목', 'hours': '09:30 - 23:00'}, {'day': '금', 'hours': '09:30 - 23:30'}, {'day': '토', 'hours': '09:30 - 23:30'}, {'day': '일', 'hours': '09:30 - 22:30'}, {'day': '월', 'hours': '09:30 - 23:00'}]",False,False,"['무화과 생크림케이크', '무화과 타르트', '아주 연한 커피', '카페모카']"
라바트리 방배,카페,"['별점\n4.7', '방문자 리뷰 507', '블로그 리뷰 329']",서울 서초구 서초대로27길 33 지하 1층,"[{'day': '화', 'hours': '12:00 - 23:00\n22:30 라스트오더'}, {'day': '수', 'hours': '12:00 - 23:00\n22:30 라스트오더'}, {'day': '목', 'hours': '12:00 - 23:00\n22:30 라스트오더'}, {'day': '금', 'hours': '12:00 - 23:00\n22:30 라스트오더'}, {'day': '토', 'hours': '12:00 - 23:00\n22:30 라스트오더'}, {'day': '일', 'hours': '12:00 - 23:00\n22:30 라스트오더'}, {'day': '월', 'hours': '정기휴무 (매주 월요일)'}]",True,True,['메뉴 정보 없음']
해이케이크샵,케이크전문,"['별점\n4.56', '방문자 리뷰 94', '블로그 리뷰 253']",서울 서초구 방배천로2안길 96 1층 101호,"[{'day': '화', 'hours': '정기휴무 (매주 화요일)'}, {'day': '수', 'hours': '정기휴무 (매주 수요일)'}, {'day': '목', 'hours': '11:00 - 20:00'}, {'day': '금', 'hours': '11:00 - 20:00'}, {'day': '토', 'hours': '11:00 - 20:00'}, {'day': '일', 'hours': '11:00 - 18:00'}, {'day': '월', 'hours': '정기휴무 (매주 월요일)'}]",True,False,"['스노우말차', '하트무화과', '베리플라워', '무화과큐브']"
모센트 양재점,"카페,디저트","['방문자 리뷰 204', '블로그 리뷰 159']",서울 서초구 양재천로29길 21 1층 102호,"[{'day': '화', 'hours': '10:00 - 21:00'}, {'day': '수', 'hours': '10:00 - 21:00'}, {'day': '목', 'hours': '10:00 - 21:00'}, {'day': '금', 'hours': '10:00 - 21:00'}, {'day': '토', 'hours': '10:00 - 21:00'}, {'day': '일', 'hours': '10:00 - 21:00'}, {'day': '월', 'hours': '10:00 - 21:00'}]",False,False,"['핸드드립', '호주식 카푸치노', '에스프레소', '아메리카노']"
떼르드카페 양재점,"카페,디저트","['방문자 리뷰 594', '블로그 리뷰 297']",서울 서초구 양재천로 111 1층,"[{'day': '화', 'hours': '09:00 - 20:00\n19:30 라스트오더'}, {'day': '수', 'hours': '09:00 - 20:00\n19:30 라스트오더'}, {'day': '목', 'hours': '09:00 - 20:00\n19:30 라스트오더'}, {'day': '금', 'hours': '09:00 - 20:00\n19:30 라스트오더'}, {'day': '토', 'hours': '09:00 - 20:00\n19:30 라스트오더'}, {'day': '일', 'hours': '09:00 - 20:00\n19:30 라스트오더'}, {'day': '월', 'hours': '09:00 - 20:00\n19:30 라스트오더'}]",False,False,"['카페 알롱제', '아메리카노', '더블 에스프레소', '카페라떼']"
OMG coffee & dessert,"카페,디저트","['방문자 리뷰 199', '블로그 리뷰 133']",서울 서초구 효령로 423 스페이스다온 1층 102호 OMG coffee & dessert,"[{'day': '화', 'hours': '08:00 - 21:00'}, {'day': '수', 'hours': '08:00 - 21:00'}, {'day': '목', 'hours': '08:00 - 21:00'}, {'day': '금', 'hours': '08:00 - 21:00'}, {'day': '토', 'hours': '08:00 - 21:00'}, {'day': '일', 'hours': '08:00 - 21:00'}, {'day': '월', 'hours': '08:00 - 21:00'}]",True,False,"['와라비모찌', '오리지널 크레이프(조각)', '오리지널 크레이프 홀케이크 1호', '흑임자 피낭시에']"
피에르마르콜리니 신세계강남점,"카페,디저트","['방문자 리뷰 89', '블로그 리뷰 177']",서울 서초구 신반포로 176 신세계백화점 강남점 B1 스위트파크,"[{'day': '화', 'hours': '10:30 - 20:00'}, {'day': '수', 'hours': '10:30 - 20:00'}, {'day': '목', 'hours': '10:30 - 20:00'}, {'day': '금', 'hours': '10:30 - 20:30'}, {'day': '토', 'hours': '10:30 - 20:30'}, {'day': '일', 'hours': '10:30 - 20:30'}, {'day': '월', 'hours': '10:30 - 20:00'}]",True,False,['피에르 마르콜리니 카페 메뉴']
플리퍼스 센트럴시티점,베이커리,"['별점\n4.44', '방문자 리뷰 2,419', '블로그 리뷰 314']",서울 서초구 신반포로 176 신세계 센트럴시티 1층 115호,"[{'day': '매일', 'hours': '09:30 - 21:30\n20:40 라스트오더'}]",True,False,"['플레인 수플레 팬케이크', '후르츠딸기 수플레 팬케이크', '플레인 샌드', '초코바나나샌드']"
심온,"카페,디저트","['방문자 리뷰 281', '블로그 리뷰 343']",서울 서초구 양재천로 103-3 1층 심온,"[{'day': '화', 'hours': '12:00 - 22:00\n21:30 라스트오더'}, {'day': '수', 'hours': '12:00 - 22:00\n21:30 라스트오더'}, {'day': '목', 'hours': '12:00 - 22:00\n21:30 라스트오더'}, {'day': '금', 'hours': '12:00 - 22:00\n21:30 라스트오더'}, {'day': '토', 'hours': '12:00 - 22:00\n21:30 라스트오더'}, {'day': '일', 'hours': '12:00 - 22:00\n21:30 라스트오더'}, {'day': '월', 'hours': '12:00 - 22:00\n21:30 라스트오더'}]",False,False,"['산호 珊瑚', 'Drip Coffee', '매화 梅花', '흑심 黑心 시.그.니.처.']"
모짜르트502,카페,"['별점\n4.32', '방문자 리뷰 2,591', '블로그 리뷰 710']",서울 서초구 남부순환로 2406 (예술의전당 내),"[{'day': '화', 'hours': '10:00 - 21:00\n14:00 - 17:00 브레이크타임'}, {'day': '수', 'hours': '10:00 - 21:00\n14:00 - 17:00 브레이크타임'}, {'day': '목', 'hours': '10:00 - 21:00\n14:00 - 17:00 브레이크타임'}, {'day': '금', 'hours': '10:00 - 21:00\n14:00 - 17:00 브레이크타임'}, {'day': '토', 'hours': '10:00 - 21:00\n14:00 - 17:00 브레이크타임'}, {'day': '일', 'hours': '10:00 - 21:00\n14:00 - 17:00 브레이크타임'}, {'day': '월', 'hours': '정기휴무 (매주 월요일)'}]",False,False,"['에소프레소', '아메리카노', '라떼', '카푸치노']"
호라이즌 신세계백화점강남점,"카페,디저트","['별점\n4.57', '방문자 리뷰 201', '블로그 리뷰 216']",서울 서초구 신반포로 176 신세계백화점 강남점 3층,"[{'day': '화', 'hours': '10:30 - 20:00\n19:00 라스트오더'}, {'day': '수', 'hours': '10:30 - 20:00\n19:00 라스트오더'}, {'day': '목', 'hours': '10:30 - 20:00\n19:00 라스트오더'}, {'day': '금', 'hours': '10:30 - 20:30\n19:30 라스트오더'}, {'day': '토', 'hours': '10:30 - 20:30\n19:30 라스트오더'}, {'day': '일', 'hours': '10:30 - 20:30\n19:30 라스트오더'}, {'day': '월', 'hours': '10:30 - 20:00\n19:00 라스트오더'}]",False,False,"['Horizon Salad', 'Ham&Cheese Sandwich', '에스프레소', '시크릿 밸런스']"
토다 베이글 양재점,베이글,"['방문자 리뷰 321', '블로그 리뷰 272']",서울 서초구 남부순환로 2567 1층 토다 베이글 양재점,"[{'day': '화', 'hours': '08:00 - 22:00'}, {'day': '수', 'hours': '08:00 - 22:00'}, {'day': '목', 'hours': '08:00 - 22:00'}, {'day': '금', 'hours': '08:00 - 22:00'}, {'day': '토', 'hours': '10:00 - 21:00'}, {'day': '일', 'hours': '10:00 - 21:00'}, {'day': '월', 'hours': '08:00 - 22:00'}]",True,False,"['베이글', '크림치즈', '아보카도 에그 샌드위치', '핫스리 치킨 샌드위치']"
미쁘다제빵소,베이커리,"['별점\n4.47', '방문자 리뷰 710', '블로그 리뷰 127']",서울 서초구 방배로4길 6 1층 미쁘다,"[{'day': '화', 'hours': '08:00 - 20:00'}, {'day': '수', 'hours': '08:00 - 20:00'}, {'day': '목', 'hours': '08:00 - 20:00'}, {'day': '금', 'hours': '08:00 - 20:00'}, {'day': '토', 'hours': '08:00 - 20:00'}, {'day': '일', 'hours': '08:00 - 20:00'}, {'day': '월', 'hours': '08:00 - 20:00'}]",True,False,"['소금빵', '크로아상', '몽블랑', '당근라페샌드위치']"
티안,홍차전문점,"['방문자 리뷰 251', '블로그 리뷰 160']",서울 서초구 서리풀길 21 1층,"[{'day': '화', 'hours': '정기휴무 (매주 화요일)'}, {'day': '수', 'hours': '정기휴무 (매주 수요일)'}, {'day': '목', 'hours': '정기휴무 (매주 목요일)'}, {'day': '금', 'hours': '정기휴무 (매주 금요일)'}, {'day': '토', 'hours': '정기휴무 (매주 토요일)'}, {'day': '일', 'hours': '정기휴무 (매주 일요일)'}, {'day': '월', 'hours': '11:30 - 18:00\n16:00 라스트오더'}]",False,False,"['티안 애프터눈티', '세미 애프터눈티', '스콘에 티 타임', '크림티']"
햇쌀마루,베이커리,"['별점\n4.41', '방문자 리뷰 1,872', '블로그 리뷰 221']",서울 서초구 서운로 22 1층 햇쌀마루,"[{'day': '화', 'hours': '08:00 - 21:00'}, {'day': '수', 'hours': '08:00 - 21:00'}, {'day': '목', 'hours': '08:00 - 21:00'}, {'day': '금', 'hours': '08:00 - 21:00'}, {'day': '토', 'hours': '08:00 - 20:00'}, {'day': '일', 'hours': '정기휴무 (매주 일요일)'}, {'day': '월', 'hours': '08:00 - 21:00'}]",True,False,"['단팥빵', '야채빵', '슈크림빵', '시오빵']"
키친205 신세계백화점 강남점,"카페,디저트","['방문자 리뷰 81', '블로그 리뷰 123']",서울 서초구 신반포로 176,"[{'day': '화', 'hours': '10:30 - 20:00'}, {'day': '수', 'hours': '10:30 - 20:00'}, {'day': '목', 'hours': '10:30 - 20:00'}, {'day': '금', 'hours': '10:30 - 20:30'}, {'day': '토', 'hours': '10:30 - 20:30'}, {'day': '일', 'hours': '10:30 - 20:30'}, {'day': '월', 'hours': '10:30 - 20:00'}]",False,False,"['딸기밭케이크 미니', '딸기밭케이크 1호']"
민이네식빵,베이커리,"['별점\n4.62', '방문자 리뷰 514', '블로그 리뷰 68']",서울 서초구 방배천로2안길 51 1층 민이네식빵,"[{'day': '화', 'hours': '정기휴무 (매주 화요일)'}, {'day': '수', 'hours': '12:00 - 17:00'}, {'day': '목', 'hours': '12:00 - 17:00'}, {'day': '금', 'hours': '12:00 - 17:00'}, {'day': '토', 'hours': '12:00 - 17:00'}, {'day': '일', 'hours': '정기휴무 (매주 일요일)'}, {'day': '월', 'hours': '정기휴무 (매주 월요일)'}]",True,False,"['잡곡호두 식빵', '청포도 식빵', '이나까(깜빠뉴)', '통단팥 식빵']"
티피에이,카페,"['방문자 리뷰 2', '블로그 리뷰 6']",서울 서초구 마방로6길 7-67 1층,"[{'day': '화', 'hours': '08:00 - 18:00'}, {'day': '수', 'hours': '08:00 - 18:00'}, {'day': '목', 'hours': '08:00 - 18:00'}, {'day': '금', 'hours': '08:00 - 18:00'}, {'day': '토', 'hours': '11:00 - 16:00'}, {'day': '일', 'hours': '정기휴무 (매주 일요일)'}, {'day': '월', 'hours': '08:00 - 18:00'}]",False,False,"['롤케익_말차', '롤케익_카라멜', '치즈케익_단호박', '치즈케익_발로나']"
하루한알 방배점,"카페,디저트","['방문자 리뷰 326', '블로그 리뷰 157']",서울 서초구 방배로28길 7 1층 104호,"[{'day': '화', 'hours': '09:00 - 20:00'}, {'day': '수', 'hours': '09:00 - 20:00'}, {'day': '목', 'hours': '09:00 - 20:00'}, {'day': '금', 'hours': '09:00 - 20:00'}, {'day': '토', 'hours': '10:00 - 19:00'}, {'day': '일', 'hours': '10:00 - 19:00'}, {'day': '월', 'hours': '09:00 - 20:00'}]",True,False,['에그타르트']
아티제 삼성타운점,카페,"['별점\n4.51', '방문자 리뷰 1,598', '블로그 리뷰 300']",서울 서초구 서초대로74길 11 삼성전자 서초사옥 지하1층 B101호,"[{'day': '화', 'hours': '07:00 - 21:00'}, {'day': '수', 'hours': '07:00 - 21:00'}, {'day': '목', 'hours': '07:00 - 21:00'}, {'day': '금', 'hours': '07:00 - 21:00'}, {'day': '토', 'hours': '09:00 - 21:00'}, {'day': '일', 'hours': '09:00 - 21:00'}, {'day': '월', 'hours': '07:00 - 21:00'}]",False,False,"['카페 아메리카노', '카페라떼', '스패니쉬라떼', '플랫화이트']"
뽐므,"카페,디저트","['방문자 리뷰 147', '블로그 리뷰 128']",서울 서초구 방배천로18길 36-5 1층,"[{'day': '매일', 'hours': '09:00 - 20:00'}]",True,True,"['필터커피', '월넛&크랜베리 치킨 샌드위치', '애플잠봉뵈르샌드위치', '감자샌드위치']"
코오롱스포츠 솟솟618,"카페,디저트","['방문자 리뷰 243', '블로그 리뷰 304']",서울 서초구 원터2길 9 1층 코오롱스포츠 솟솟618카페,"[{'day': '매일', 'hours': '08:30 - 18:30\n18:00 라스트오더'}]",False,True,"['푸른솔에이드', '솟솟 쌍화차', '구움플레이트', '수제쿠키']"
빈브라더스 파미에스테이션,카페,"['방문자 리뷰 1,512', '블로그 리뷰 346']",서울 서초구 사평대로 205 센트럴시티 파미에스테이션 2층 FP203호,"[{'day': '매일', 'hours': '10:00 - 22:00\n21:00 라스트오더'}]",True,False,['메뉴 정보 없음']
